,Office_2008,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes,dem_votes,repub_votes,county_polit_lean,county_perc_vote_dem,county_perc_vote_repub,county_state,county_stateV2,state_abb,hhi.political_lean,diversity.political_lean
955,President 2008,Kansas,20081104,N/A,KEARNY,County,"1,482","1,159","McCain, John S. III",Challenger,309,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,14,850,R,78.21,20.85,0,0.94,78.95,21.05,NA,NA,NA,1581,43,-1538,0.973522167,0.026477833,Kearny County KS,Kearny KS,KS,0.948446486,0.051553514
956,President 2008,Kansas,20081104,N/A,KINGMAN,County,"3,664","2,603","McCain, John S. III",Challenger,963,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,98,"1,640",R,71.04,26.28,0,2.67,72.99,27.01,NA,NA,NA,2828,968,-1860,0.744994731,0.255005269,Kingman County KS,Kingman KS,KS,0.620044837,0.379955163
957,President 2008,Kansas,20081104,N/A,KIOWA,County,"1,135",912,"McCain, John S. III",Challenger,200,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,23,712,R,80.35,17.62,0,2.03,82.01,17.99,NA,NA,NA,1129,2872,1743,0.282179455,0.717820545,Kiowa County KS,Kiowa KS,KS,0.59489158,0.40510842
958,President 2008,Kansas,20081104,N/A,LABETTE,County,"9,031","5,001","McCain, John S. III",Challenger,"3,839","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,191,"1,162",R,55.38,42.51,0,2.11,56.57,43.43,NA,NA,NA,1541,1974,433,0.438406828,0.561593172,Labette County KS,Labette KS,KS,0.507587438,0.492412562
959,President 2008,Kansas,20081104,N/A,LANE,County,"1,027",814,"McCain, John S. III",Challenger,193,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,20,621,R,79.26,18.79,0,1.95,80.83,19.17,NA,NA,NA,798,2727,1929,0.226382979,0.773617021,Lane County KS,Lane KS,KS,0.649732549,0.350267451
960,President 2008,Kansas,20081104,N/A,LEAVENWORTH,County,"30,591","16,791","McCain, John S. III",Challenger,"13,255","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,545,"3,536",R,54.89,43.33,0,1.78,55.88,44.12,NA,NA,NA,558,701,143,0.443208896,0.556791104,Leavenworth County KS,Leavenworth KS,KS,0.506450459,0.493549541
961,President 2008,Kansas,20081104,N/A,LINCOLN,County,"1,586","1,204","McCain, John S. III",Challenger,347,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,35,857,R,75.91,21.88,0,2.21,77.63,22.37,NA,NA,NA,1647,50,-1597,0.97053624,0.02946376,Lincoln County KS,Lincoln KS,KS,0.942808707,0.057191293
962,President 2008,Kansas,20081104,N/A,LINN,County,"4,617","3,086","McCain, John S. III",Challenger,"1,425","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,106,"1,661",R,66.84,30.86,0,2.3,68.41,31.59,NA,NA,NA,161,1340,1179,0.107261825,0.892738175,Linn County KS,Linn KS,KS,0.808486547,0.191513453
963,President 2008,Kansas,20081104,N/A,LOGAN,County,"1,440","1,187","McCain, John S. III",Challenger,225,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,28,962,R,82.43,15.63,0,1.94,84.07,15.93,NA,NA,NA,1187,46,-1141,0.96269262,0.03730738,Logan County KS,Logan KS,KS,0.928168921,0.071831079
964,President 2008,Kansas,20081104,N/A,LYON,County,"12,911","6,698","McCain, John S. III",Challenger,"5,924","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,289,774,R,51.88,45.88,0,2.24,53.07,46.93,NA,NA,NA,2144,2336,192,0.478571429,0.521428571,Lyon County KS,Lyon KS,KS,0.500918367,0.499081633
965,President 2008,Kansas,20081104,N/A,MARION,County,"6,059","4,159","McCain, John S. III",Challenger,"1,801","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,99,"2,358",R,68.64,29.72,0,1.63,69.78,30.22,NA,NA,NA,289,1710,1421,0.144572286,0.855427714,Marion County KS,Marion KS,KS,0.75265772,0.24734228
966,President 2008,Kansas,20081104,N/A,MARSHALL,County,"5,036","3,157","McCain, John S. III",Challenger,"1,784","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,95,"1,373",R,62.69,35.42,0,1.89,63.89,36.11,NA,NA,NA,278,1362,1084,0.169512195,0.830487805,Marshall County KS,Marshall KS,KS,0.718444378,0.281555622
967,President 2008,Kansas,20081104,N/A,MCPHERSON,County,"13,386","8,937","McCain, John S. III",Challenger,"4,218","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,231,"4,719",R,66.76,31.51,0,1.73,67.94,32.06,NA,NA,NA,1746,2710,964,0.391831239,0.608168761,Mcpherson County KS,Mcpherson KS,KS,0.523400962,0.476599038
968,President 2008,Kansas,20081104,N/A,MEADE,County,"1,931","1,540","McCain, John S. III",Challenger,357,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,34,"1,183",R,79.75,18.49,0,1.76,81.18,18.82,NA,NA,NA,1651,145,-1506,0.919265033,0.080734967,Meade County KS,Meade KS,KS,0.851566336,0.148433664
969,President 2008,Kansas,20081104,N/A,MIAMI,County,"15,377","9,382","McCain, John S. III",Challenger,"5,742","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,253,"3,640",R,61.01,37.34,0,1.65,62.03,37.97,NA,NA,NA,2115,2809,694,0.429528838,0.570471162,Miami County KS,Miami KS,KS,0.509932369,0.490067631
970,President 2008,Kansas,20081104,N/A,MITCHELL,County,"3,203","2,440","McCain, John S. III",Challenger,701,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,62,"1,739",R,76.18,21.89,0,1.94,77.68,22.32,NA,NA,NA,2538,931,-1607,0.731622946,0.268377054,Mitchell County KS,Mitchell KS,KS,0.607298378,0.392701622
971,President 2008,Kansas,20081104,N/A,MONTGOMERY,County,"13,907","9,309","McCain, John S. III",Challenger,"4,338","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,260,"4,971",R,66.94,31.19,0,1.87,68.21,31.79,NA,NA,NA,1771,2802,1031,0.387273125,0.612726875,Montgomery County KS,Montgomery KS,KS,0.525414697,0.474585303
972,President 2008,Kansas,20081104,N/A,MORRIS,County,"2,841","1,875","McCain, John S. III",Challenger,907,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,59,968,R,66,31.93,0,2.08,67.4,32.6,NA,NA,NA,2799,242,-2557,0.920420914,0.079579086,Morris County KS,Morris KS,KS,0.85350749,0.14649251
973,President 2008,Kansas,20081104,N/A,MORTON,County,"1,402","1,153","McCain, John S. III",Challenger,229,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,20,924,R,82.24,16.33,0,1.43,83.43,16.57,NA,NA,NA,1192,40,-1152,0.967532468,0.032467532,Morton County KS,Morton KS,KS,0.937173216,0.062826784
974,President 2008,Kansas,20081104,N/A,NEMAHA,County,"5,359","3,817","McCain, John S. III",Challenger,"1,432","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,110,"2,385",R,71.23,26.72,0,2.05,72.72,27.28,NA,NA,NA,163,1508,1345,0.097546379,0.902453621,Nemaha County KS,Nemaha KS,KS,0.823937833,0.176062167
975,President 2008,Kansas,20081104,N/A,NEOSHO,County,"7,192","4,473","McCain, John S. III",Challenger,"2,563","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,156,"1,910",R,62.19,35.64,0,2.17,63.57,36.43,NA,NA,NA,974,1791,817,0.352260398,0.647739602,Neosho County KS,Neosho KS,KS,0.54365398,0.45634602
976,President 2008,Kansas,20081104,N/A,NESS,County,"1,525","1,207","McCain, John S. III",Challenger,289,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,29,918,R,79.15,18.95,0,1.9,80.68,19.32,NA,NA,NA,1316,52,-1264,0.961988304,0.038011696,Ness County KS,Ness KS,KS,0.926866386,0.073133614
977,President 2008,Kansas,20081104,N/A,NORTON,County,"2,415","1,878","McCain, John S. III",Challenger,497,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,40,"1,381",R,77.76,20.58,0,1.66,79.07,20.93,NA,NA,NA,2001,243,-1758,0.89171123,0.10828877,Norton County KS,Norton KS,KS,0.806875375,0.193124625
978,President 2008,Kansas,20081104,N/A,OSAGE,County,"7,544","4,820","McCain, John S. III",Challenger,"2,534","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,190,"2,286",R,63.89,33.59,0,2.52,65.54,34.46,NA,NA,NA,966,1851,885,0.342917998,0.657082002,Osage County KS,Osage KS,KS,0.549349511,0.450650489
979,President 2008,Kansas,20081104,N/A,OSBORNE,County,"1,930","1,490","McCain, John S. III",Challenger,403,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,37,"1,087",R,77.2,20.88,0,1.92,78.71,21.29,NA,NA,NA,1920,128,-1792,0.9375,0.0625,Osborne County KS,Osborne KS,KS,0.8828125,0.1171875
980,President 2008,Kansas,20081104,N/A,OTTAWA,County,"3,086","2,323","McCain, John S. III",Challenger,704,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,59,"1,619",R,75.28,22.81,0,1.91,76.74,23.26,NA,NA,NA,2539,898,-1641,0.738725633,0.261274367,Ottawa County KS,Ottawa KS,KS,0.613979856,0.386020144
981,President 2008,Kansas,20081104,N/A,PAWNEE,County,"2,879","1,946","McCain, John S. III",Challenger,882,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,51,"1,064",R,67.59,30.64,0,1.77,68.81,31.19,NA,NA,NA,2722,258,-2464,0.913422819,0.086577181,Pawnee County KS,Pawnee KS,KS,0.841836854,0.158163146
982,President 2008,Kansas,20081104,N/A,PHILLIPS,County,"2,667","2,105","McCain, John S. III",Challenger,525,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,37,"1,580",R,78.93,19.69,0,1.39,80.04,19.96,NA,NA,NA,2180,853,-1327,0.718760303,0.281239697,Phillips County KS,Phillips KS,KS,0.595712141,0.404287859
983,President 2008,Kansas,20081104,N/A,POTTAWATOMIE,County,"9,837","6,929","McCain, John S. III",Challenger,"2,599","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,309,"4,330",R,70.44,26.42,0,3.14,72.72,27.28,NA,NA,NA,992,2369,1377,0.295150253,0.704849747,Pottawatomie County KS,Pottawatomie KS,KS,0.583926838,0.416073162
984,President 2008,Kansas,20081104,N/A,PRATT,County,"4,190","2,822","McCain, John S. III",Challenger,"1,294","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,74,"1,528",R,67.35,30.88,0,1.77,68.56,31.44,NA,NA,NA,113,1027,914,0.099122807,0.900877193,Pratt County KS,Pratt KS,KS,0.821405048,0.178594952
985,President 2008,Kansas,20081104,N/A,RAWLINS,County,"1,549","1,247","McCain, John S. III",Challenger,273,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,29,974,R,80.5,17.62,0,1.87,82.04,17.96,NA,NA,NA,1287,65,-1222,0.951923077,0.048076923,Rawlins County KS,Rawlins KS,KS,0.908468935,0.091531065
986,President 2008,Kansas,20081104,N/A,RENO,County,"26,512","16,112","McCain, John S. III",Challenger,"9,916","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,484,"6,196",R,60.77,37.4,0,1.83,61.9,38.1,NA,NA,NA,2793,685,-2108,0.803047729,0.196952271,Reno County KS,Reno KS,KS,0.683675852,0.316324148
987,President 2008,Kansas,20081104,N/A,REPUBLIC,County,"2,671","1,978","McCain, John S. III",Challenger,640,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,53,"1,338",R,74.05,23.96,0,1.98,75.55,24.45,NA,NA,NA,2375,265,-2110,0.899621212,0.100378788,Republic County KS,Republic KS,KS,0.819394226,0.180605774
988,President 2008,Kansas,20081104,N/A,RICE,County,"4,021","2,780","McCain, John S. III",Challenger,"1,163","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,78,"1,617",R,69.14,28.92,0,1.94,70.5,29.5,NA,NA,NA,57,1014,957,0.053221289,0.946778711,Rice County KS,Rice KS,KS,0.899222434,0.100777566
989,President 2008,Kansas,20081104,N/A,RILEY,County,"22,997","12,111","McCain, John S. III",Challenger,"10,495","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,391,"1,616",R,52.66,45.64,0,1.7,53.57,46.43,NA,NA,NA,381,450,69,0.458483755,0.541516245,Riley County KS,Riley KS,KS,0.503447197,0.496552803
990,President 2008,Kansas,20081104,N/A,ROOKS,County,"2,588","2,068","McCain, John S. III",Challenger,468,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,52,"1,600",R,79.91,18.08,0,2.01,81.55,18.45,NA,NA,NA,1972,846,-1126,0.699787083,0.300212917,Rooks County KS,Rooks KS,KS,0.579829757,0.420170243
991,President 2008,Kansas,20081104,N/A,RUSH,County,"1,781","1,225","McCain, John S. III",Challenger,504,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,52,721,R,68.78,28.3,0,2.92,70.85,29.15,NA,NA,NA,2164,57,-2107,0.974335885,0.025664115,Rush County KS,Rush KS,KS,0.949989063,0.050010937
992,President 2008,Kansas,20081104,N/A,RUSSELL,County,"3,293","2,509","McCain, John S. III",Challenger,736,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,48,"1,773",R,76.19,22.35,0,1.46,77.32,22.68,NA,NA,NA,2554,944,-1610,0.730131504,0.269868496,Russell County KS,Russell KS,KS,0.605921018,0.394078982
993,President 2008,Kansas,20081104,N/A,SALINE,County,"22,788","14,165","McCain, John S. III",Challenger,"8,186","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,437,"5,979",R,62.16,35.92,0,1.92,63.38,36.62,NA,NA,NA,2609,579,-2030,0.81838143,0.18161857,Saline County KS,Saline KS,KS,0.70273347,0.29726653
994,President 2008,Kansas,20081104,N/A,SCOTT,County,"2,179","1,823","McCain, John S. III",Challenger,321,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,35,"1,502",R,83.66,14.73,0,1.61,85.03,14.97,NA,NA,NA,1612,225,-1387,0.877517692,0.122482308,Scott County KS,Scott KS,KS,0.785039215,0.214960785
995,President 2008,Kansas,20081104,N/A,SEDGWICK,County,"192,733","106,849","McCain, John S. III",Challenger,"82,337","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"3,547","24,512",R,55.44,42.72,0,1.84,56.48,43.52,NA,NA,NA,2687,356,-2331,0.883010187,0.116989813,Sedgwick County KS,Sedgwick KS,KS,0.793393607,0.206606393
996,President 2008,Kansas,20081104,N/A,SEWARD,County,"5,336","3,791","McCain, John S. III",Challenger,"1,493","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,52,"2,298",R,71.05,27.98,0,0.97,71.74,28.26,NA,NA,NA,182,1500,1318,0.108204518,0.891795482,Seward County KS,Seward KS,KS,0.807007399,0.192992601
997,President 2008,Kansas,20081104,N/A,SHAWNEE,County,"84,177","41,476","McCain, John S. III",Challenger,"41,235","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"1,466",241,R,49.27,48.99,0,1.74,50.15,49.85,NA,NA,NA,1925,1900,-25,0.503267974,0.496732026,Shawnee County KS,Shawnee KS,KS,0.500021359,0.499978641
998,President 2008,Kansas,20081104,N/A,SHERIDAN,County,"1,376","1,108","McCain, John S. III",Challenger,254,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,14,854,R,80.52,18.46,0,1.02,81.35,18.65,NA,NA,NA,1252,31,-1221,0.97583788,0.02416212,Sheridan County KS,Sheridan KS,KS,0.952843376,0.047156624
999,President 2008,Kansas,20081104,N/A,SHERMAN,County,"2,704","1,959","McCain, John S. III",Challenger,688,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,57,"1,271",R,72.45,25.44,0,2.11,74.01,25.99,NA,NA,NA,2410,261,-2149,0.902283789,0.097716211,Sherman County KS,Sherman KS,KS,0.823664494,0.176335506
1000,President 2008,Kansas,20081104,N/A,SMITH,County,"2,204","1,719","McCain, John S. III",Challenger,446,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,39,"1,273",R,77.99,20.24,0,1.77,79.4,20.6,NA,NA,NA,1956,199,-1757,0.907656613,0.092343387,Smith County KS,Smith KS,KS,0.832367827,0.167632173
1001,President 2008,Kansas,20081104,N/A,STAFFORD,County,"2,074","1,495","McCain, John S. III",Challenger,542,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,37,953,R,72.08,26.13,0,1.78,73.39,26.61,NA,NA,NA,2195,132,-2063,0.943274602,0.056725398,Stafford County KS,Stafford KS,KS,0.892984746,0.107015254
1002,President 2008,Kansas,20081104,N/A,STANTON,County,827,628,"McCain, John S. III",Challenger,188,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,11,440,R,75.94,22.73,0,1.33,76.96,23.04,NA,NA,NA,775,2395,1620,0.244479495,0.755520505,Stanton County KS,Stanton KS,KS,0.630581457,0.369418543
1003,President 2008,Kansas,20081104,N/A,STEVENS,County,"2,127","1,815","McCain, John S. III",Challenger,283,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,29,"1,532",R,85.33,13.31,0,1.36,86.51,13.49,NA,NA,NA,1311,223,-1088,0.854628422,0.145371578,Stevens County KS,Stevens KS,KS,0.751522636,0.248477364
1004,President 2008,Kansas,20081104,N/A,SUMNER,County,"10,337","6,737","McCain, John S. III",Challenger,"3,353","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,247,"3,384",R,65.17,32.44,0,2.39,66.77,33.23,NA,NA,NA,1433,2342,909,0.379602649,0.620397351,Sumner County KS,Sumner KS,KS,0.528991044,0.471008956
1005,President 2008,Kansas,20081104,N/A,THOMAS,County,"3,673","2,837","McCain, John S. III",Challenger,787,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,49,"2,050",R,77.24,21.43,0,1.33,78.28,21.72,NA,NA,NA,2589,1033,-1556,0.714798454,0.285201546,Thomas County KS,Thomas KS,KS,0.592276752,0.407723248
1006,President 2008,Kansas,20081104,N/A,TREGO,County,"1,671","1,225","McCain, John S. III",Challenger,420,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,26,805,R,73.31,25.13,0,1.56,74.47,25.53,NA,NA,NA,1936,57,-1879,0.9713999,0.0286001,Trego County KS,Trego KS,KS,0.944435731,0.055564269
1007,President 2008,Kansas,20081104,N/A,WABAUNSEE,County,"3,521","2,395","McCain, John S. III",Challenger,"1,036","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,90,"1,359",R,68.02,29.42,0,2.56,69.8,30.2,NA,NA,NA,9,922,913,0.009667025,0.990332975,Wabaunsee County KS,Wabaunsee KS,KS,0.980852853,0.019147147
1008,President 2008,Kansas,20081104,N/A,WALLACE,County,804,690,"McCain, John S. III",Challenger,96,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,18,594,R,85.82,11.94,0,2.24,87.79,12.21,NA,NA,NA,2823,2436,-387,0.536794067,0.463205933,Wallace County KS,Wallace KS,KS,0.502707607,0.497292393
1009,President 2008,Kansas,20081104,N/A,WASHINGTON,County,"2,980","2,248","McCain, John S. III",Challenger,659,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,73,"1,589",R,75.44,22.11,0,2.45,77.33,22.67,NA,NA,NA,2385,881,-1504,0.730251072,0.269748928,Washington County KS,Washington KS,KS,0.606031112,0.393968888
1010,President 2008,Kansas,20081104,N/A,WICHITA,County,"1,019",840,"McCain, John S. III",Challenger,163,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,16,677,R,82.43,16,0,1.57,83.75,16.25,NA,NA,NA,710,2739,2029,0.20585677,0.79414323,Wichita County KS,Wichita KS,KS,0.673040479,0.326959521
1011,President 2008,Kansas,20081104,N/A,WILSON,County,"4,121","2,850","McCain, John S. III",Challenger,"1,170","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,101,"1,680",R,69.16,28.39,0,2.45,70.9,29.1,NA,NA,NA,60,1035,975,0.054794521,0.945205479,Wilson County KS,Wilson KS,KS,0.896415838,0.103584162
1012,President 2008,Kansas,20081104,N/A,WOODSON,County,"1,599","1,055","McCain, John S. III",Challenger,512,"Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,32,543,R,65.98,32.02,0,2,67.33,32.67,NA,NA,NA,2172,12,-2160,0.994505495,0.005494505,Woodson County KS,Woodson KS,KS,0.989071368,0.010928632
1013,President 2008,Kansas,20081104,N/A,WYANDOTTE,County,"57,169","16,506","McCain, John S. III",Challenger,"39,865","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,798,"23,359",D,28.87,69.73,0,1.4,29.28,70.72,NA,NA,NA,1701,694,-1007,0.710229645,0.289770355,Wyandotte County KS,Wyandotte KS,KS,0.588393007,0.411606993
1014,President 2008,Kentucky,20081104,N/A,ADAIR,County,"7,298","5,512","McCain, John S. III",Challenger,"1,668","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,118,"3,844",R,75.53,22.86,0,1.62,76.77,23.23,NA,NA,NA,249,2066,1817,0.107559395,0.892440605,Adair County KY,Adair KY,KY,0.808019257,0.191980743
1015,President 2008,Kentucky,20081104,N/A,ALLEN,County,"7,390","5,258","McCain, John S. III",Challenger,"2,024","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,108,"3,234",R,71.15,27.39,0,1.46,72.21,27.79,NA,NA,NA,814,2024,1210,0.286821705,0.713178295,Allen County KY,Allen KY,KY,0.590889971,0.409110029
1016,President 2008,Kentucky,20081104,N/A,ANDERSON,County,"10,552","6,885","McCain, John S. III",Challenger,"3,462","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,205,"3,423",R,65.25,32.81,0,1.94,66.54,33.46,NA,NA,NA,1459,2358,899,0.382237359,0.617762641,Anderson County KY,Anderson KY,KY,0.527736079,0.472263921
1017,President 2008,Kentucky,20081104,N/A,BALLARD,County,"4,060","2,537","McCain, John S. III",Challenger,"1,427","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,96,"1,110",R,62.49,35.15,0,2.36,64,36,NA,NA,NA,162,954,792,0.14516129,0.85483871,Ballard County KY,Ballard KY,KY,0.75182102,0.24817898
1018,President 2008,Kentucky,20081104,N/A,BARREN,County,"16,808","11,133","McCain, John S. III",Challenger,"5,434","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,241,"5,699",R,66.24,32.33,0,1.43,67.2,32.8,NA,NA,NA,2075,364,-1711,0.850758508,0.149241492,Barren County KY,Barren KY,KY,0.746063061,0.253936939
1019,President 2008,Kentucky,20081104,N/A,BATH,County,"4,543","2,234","McCain, John S. III",Challenger,"2,210","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,99,24,R,49.17,48.65,0,2.18,50.27,49.73,NA,NA,NA,871,879,8,0.497714286,0.502285714,Bath County KY,Bath KY,KY,0.500010449,0.499989551
1020,President 2008,Kentucky,20081104,N/A,BELL,County,"9,598","6,681","McCain, John S. III",Challenger,"2,782","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,135,"3,899",R,69.61,28.99,0,1.41,70.6,29.4,NA,NA,NA,1042,2332,1290,0.308832247,0.691167753,Bell County KY,Bell KY,KY,0.57309022,0.42690978
1021,President 2008,Kentucky,20081104,N/A,BOONE,County,"50,775","33,812","McCain, John S. III",Challenger,"16,292","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,671,"17,520",R,66.59,32.09,0,1.32,67.48,32.52,NA,NA,NA,693,1601,908,0.302092415,0.697907585,Boone County KY,Boone KY,KY,0.578334824,0.421665176
1022,President 2008,Kentucky,20081104,N/A,BOURBON,County,"8,330","4,820","McCain, John S. III",Challenger,"3,385","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,125,"1,435",R,57.86,40.64,0,1.5,58.74,41.26,NA,NA,NA,1441,1851,410,0.437727825,0.562272175,Bourbon County KY,Bourbon KY,KY,0.507755648,0.492244352
1023,President 2008,Kentucky,20081104,N/A,BOYD,County,"20,670","11,430","McCain, John S. III",Challenger,"8,886","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,354,"2,544",R,55.3,42.99,0,1.71,56.26,43.74,NA,NA,NA,2666,387,-2279,0.873239437,0.126760563,Boyd County KY,Boyd KY,KY,0.778615354,0.221384646
1024,President 2008,Kentucky,20081104,N/A,BOYLE,County,"12,635","7,701","McCain, John S. III",Challenger,"4,769","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,165,"2,932",R,60.95,37.74,0,1.31,61.76,38.24,NA,NA,NA,1865,2518,653,0.425507643,0.574492357,Boyle County KY,Boyle KY,KY,0.511098222,0.488901778
1025,President 2008,Kentucky,20081104,N/A,BRACKEN,County,"3,400","2,066","McCain, John S. III",Challenger,"1,241","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,93,825,R,60.76,36.5,0,2.74,62.47,37.53,NA,NA,NA,89,845,756,0.095289079,0.904710921,Bracken County KY,Bracken KY,KY,0.827581859,0.172418141
1026,President 2008,Kentucky,20081104,N/A,BREATHITT,County,"5,030","2,671","McCain, John S. III",Challenger,"2,205","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,154,466,R,53.1,43.84,0,3.06,54.78,45.22,NA,NA,NA,868,988,120,0.467672414,0.532327586,Breathitt County KY,Breathitt KY,KY,0.502090146,0.497909854
1027,President 2008,Kentucky,20081104,N/A,BRECKINRIDGE,County,"8,523","5,281","McCain, John S. III",Challenger,"3,110","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,132,"2,171",R,61.96,36.49,0,1.55,62.94,37.06,NA,NA,NA,1374,2028,654,0.403880071,0.596119929,Breckinridge County KY,Breckinridge KY,KY,0.518478082,0.481521918
1028,President 2008,Kentucky,20081104,N/A,BULLITT,County,"30,726","20,102","McCain, John S. III",Challenger,"10,177","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,447,"9,925",R,65.42,33.12,0,1.45,66.39,33.61,NA,NA,NA,363,1087,724,0.250344828,0.749655172,Bullitt County KY,Bullitt KY,KY,0.62465541,0.37534459
1029,President 2008,Kentucky,20081104,N/A,BUTLER,County,"5,318","3,696","McCain, John S. III",Challenger,"1,555","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,67,"2,141",R,69.5,29.24,0,1.26,70.39,29.61,NA,NA,NA,203,1478,1275,0.120761452,0.879238548,Butler County KY,Butler KY,KY,0.787643753,0.212356247
1030,President 2008,Kentucky,20081104,N/A,CALDWELL,County,"6,199","3,866","McCain, John S. III",Challenger,"2,212","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,121,"1,654",R,62.36,35.68,0,1.95,63.61,36.39,NA,NA,NA,872,1518,646,0.364853556,0.635146444,Caldwell County KY,Caldwell KY,KY,0.536529122,0.463470878
1031,President 2008,Kentucky,20081104,N/A,CALLOWAY,County,"15,405","8,991","McCain, John S. III",Challenger,"6,165","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,249,"2,826",R,58.36,40.02,0,1.62,59.32,40.68,NA,NA,NA,2249,2715,466,0.453062047,0.546937953,Calloway County KY,Calloway KY,KY,0.504406343,0.495593657
